markers,chr,pos,trait,lod
S1_8560729,1,26.80808778,lod.out.hk_LPCs,0.006277879911181117
S1_8882621,1,26.80813127,lod.out.hk_LPCs,0.0062780027554367734
S1_9216202,1,26.80817475,lod.out.hk_LPCs,0.006278129096529028
c1.loc27,1,27,lod.out.hk_LPCs,0.0067994578257071225
c1.loc28,1,28,lod.out.hk_LPCs,0.009522535330461324
c1.loc29,1,29,lod.out.hk_LPCs,0.011950543652687884
S1_9397218,1,29.16231563,lod.out.hk_LPCs,0.01229492348045369
c1.loc30,1,30,lod.out.hk_LPCs,0.06665326804215965
S1_9437331,1,30.31575574,lod.out.hk_LPCs,0.0947263137934442
c1.loc31,1,31,lod.out.hk_LPCs,0.0997251850850489
S1_10538283,1,31.39854611,lod.out.hk_LPCs,0.10262870994159812
c1.loc32,1,32,lod.out.hk_LPCs,0.1800123738358934
S1_10844936,1,32.41046533,lod.out.hk_LPCs,0.23325754320262604
c1.loc33,1,33,lod.out.hk_LPCs,0.23902007401812853
S1_10996800,1,33.46986037,lod.out.hk_LPCs,0.24344311956758702
c1.loc34,1,34,lod.out.hk_LPCs,0.25607370902503135
S1_11949102,1,34.57141464,lod.out.hk_LPCs,0.2549653133423817
c1.loc35,1,35,lod.out.hk_LPCs,0.2549635979830782
S1_12256417,1,35.61904427,lod.out.hk_LPCs,0.2549608117849971
S1_12311550,1,35.61908775,lod.out.hk_LPCs,0.25496103205779264
S1_12352857,1,35.61913124,lod.out.hk_LPCs,0.25496290008589995
c1.loc36,1,36,lod.out.hk_LPCs,0.25902868036763493
c1.loc37,1,37,lod.out.hk_LPCs,0.25808090077663337
c1.loc38,1,38,lod.out.hk_LPCs,0.24019539420856972
S1_12481583,1,38.79074831,lod.out.hk_LPCs,0.2171912547760826
c1.loc39,1,39,lod.out.hk_LPCs,0.21722411895757432
S1_12498912,1,39.82757903,lod.out.hk_LPCs,0.21735312580352684
c1.loc40,1,40,lod.out.hk_LPCs,0.21735484440756636
S1_12519299,1,40.9291333,lod.out.hk_LPCs,0.21736403785087077
c1.loc41,1,41,lod.out.hk_LPCs,0.2255427713709537
c1.loc42,1,42,lod.out.hk_LPCs,0.34493526798877383
c1.loc43,1,43,lod.out.hk_LPCs,0.454979253694205
S1_12851178,1,43.1862095,lod.out.hk_LPCs,0.47274151596462843
c1.loc44,1,44,lod.out.hk_LPCs,0.347875845203248
S1_12855585,1,44.26351794,lod.out.hk_LPCs,0.30303447998136335
c1.loc45,1,45,lod.out.hk_LPCs,0.32302284948031
S1_14033701,1,45.36507222,lod.out.hk_LPCs,0.3225086782180142
c1.loc46,1,46,lod.out.hk_LPCs,0.32250346772025296
S1_14033802,1,46.53387462,lod.out.hk_LPCs,0.32249876491357554
c1.loc47,1,47,lod.out.hk_LPCs,0.3148063999583428
S1_14165850,1,47.43492096,lod.out.hk_LPCs,0.29183449134853845
c1.loc48,1,48,lod.out.hk_LPCs,0.2918664368407349
S1_14166027,1,48.30771544,lod.out.hk_LPCs,0.29188387193545395
c1.loc49,1,49,lod.out.hk_LPCs,0.3363999392412893
S1_15353866,1,49.43467868,lod.out.hk_LPCs,0.3518619247557808
c1.loc50,1,50,lod.out.hk_LPCs,0.2431159054397085
S1_16045335,1,50.58811879,lod.out.hk_LPCs,0.1375723992003941
S1_16348479,1,50.58816227,lod.out.hk_LPCs,0.1375723960744608
S1_16348963,1,50.58820576,lod.out.hk_LPCs,0.1375723936538975
S1_16950975,1,50.58824924,lod.out.hk_LPCs,0.13757239850383485
c1.loc51,1,51,lod.out.hk_LPCs,0.13755914646554857
S1_17625057,1,51.70271172,lod.out.hk_LPCs,0.137536512865438
S1_17625346,1,51.70275521,lod.out.hk_LPCs,0.13753651335986206
c1.loc52,1,52,lod.out.hk_LPCs,0.13875000898030976
c1.loc53,1,53,lod.out.hk_LPCs,0.1386361728299903
S1_17669819,1,53.99528554,lod.out.hk_LPCs,0.13259759272693827
c1.loc54,1,54,lod.out.hk_LPCs,0.1321499910209809
c1.loc55,1,55,lod.out.hk_LPCs,0.04573789701771602
S1_18625516,1,55.14869165,lod.out.hk_LPCs,0.035733804431799854
c1.loc56,1,56,lod.out.hk_LPCs,0.013679419122979652
S1_18931003,1,56.30218677,lod.out.hk_LPCs,0.00817507023947428
c1.loc57,1,57,lod.out.hk_LPCs,0.008158600606009259
S1_19234910,1,57.51579379,lod.out.hk_LPCs,0.008146414590100903
c1.loc58,1,58,lod.out.hk_LPCs,3.902158596247318e-7
S1_19474802,1,58.78748309,lod.out.hk_LPCs,0.019691965481456464
c1.loc59,1,59,lod.out.hk_LPCs,0.019266937397333095
S1_19476375,1,59.9716525,lod.out.hk_LPCs,0.01731845523448783
S1_19972414,1,59.9728012,lod.out.hk_LPCs,0.017268357008219937
c1.loc60,1,60,lod.out.hk_LPCs,0.016102333697631366
c1.loc61,1,61,lod.out.hk_LPCs,0.0015516863312541318
S1_19972917,1,61.0731028,lod.out.hk_LPCs,0.0026185512330698657
c1.loc62,1,62,lod.out.hk_LPCs,0.003348054337607209
S1_20543051,1,62.11030964,lod.out.hk_LPCs,0.003439888995842466
c1.loc63,1,63,lod.out.hk_LPCs,0.0042045663382737075
S1_21466921,1,63.14751648,lod.out.hk_LPCs,0.004336599049054257
c1.loc64,1,64,lod.out.hk_LPCs,0.005115729452086271
S1_21721427,1,64.2910876,lod.out.hk_LPCs,0.0053891940811467975
c1.loc65,1,65,lod.out.hk_LPCs,0.023334521705635325
c1.loc66,1,66,lod.out.hk_LPCs,0.07021344882207359
c1.loc67,1,67,lod.out.hk_LPCs,0.1376053686910268
S1_22439341,1,67.95942979,lod.out.hk_LPCs,0.2123949327908008
c1.loc68,1,68,lod.out.hk_LPCs,0.21240171188054546
S1_22639368,1,68.42108485,lod.out.hk_LPCs,0.21247178073929263
S1_22744906,1,68.87329051,lod.out.hk_LPCs,0.212535683773865
c1.loc69,1,69,lod.out.hk_LPCs,0.21500782253889383
c1.loc70,1,70,lod.out.hk_LPCs,0.22638652720115715
c1.loc71,1,71,lod.out.hk_LPCs,0.22020741014341638
S1_24194647,1,71.07871647,lod.out.hk_LPCs,0.21895121594030797
c1.loc72,1,72,lod.out.hk_LPCs,0.22791464506474313
S1_24203797,1,72.17901807,lod.out.hk_LPCs,0.22577864137042525
S1_25375135,1,72.18016677,lod.out.hk_LPCs,0.2257607441719074
S1_26437933,1,72.18131547,lod.out.hk_LPCs,0.2254861023786816
c1.loc73,1,73,lod.out.hk_LPCs,0.06760039909119087
S1_27119700,1,73.28165103,lod.out.hk_LPCs,0.034137008888478704
c1.loc74,1,74,lod.out.hk_LPCs,0.03357665604653448
S1_27627373,1,74.38320531,lod.out.hk_LPCs,0.0320556674718091
c1.loc75,1,75,lod.out.hk_LPCs,0.00451429306292539
S1_27638377,1,75.51011358,lod.out.hk_LPCs,8.960051642361577e-4
S1_33832108,1,75.51015706,lod.out.hk_LPCs,8.960054976796528e-4
c1.loc76,1,76,lod.out.hk_LPCs,8.99799968010484e-4
S1_33832747,1,76.72602885,lod.out.hk_LPCs,9.054248101847406e-4
S1_33842113,1,76.72607234,lod.out.hk_LPCs,9.054247555013717e-4
c1.loc77,1,77,lod.out.hk_LPCs,9.11823983017257e-4
S1_31207566,1,77.94208831,lod.out.hk_LPCs,9.338636732536543e-4
S1_32581269,1,77.94213179,lod.out.hk_LPCs,9.338645734260353e-4
c1.loc78,1,78,lod.out.hk_LPCs,8.640039816327771e-4
c1.loc79,1,79,lod.out.hk_LPCs,8.262515200385678e-5
S1_30279181,1,79.02492216,lod.out.hk_LPCs,7.357488323123107e-5
S1_31850441,1,79.02496564,lod.out.hk_LPCs,7.355952135412736e-5
S1_32579627,1,79.02500913,lod.out.hk_LPCs,7.354415760119082e-5
c1.loc80,1,80,lod.out.hk_LPCs,1.1984746782900402e-4
S1_32581175,1,80.08614192,lod.out.hk_LPCs,1.594181259179095e-4
c1.loc81,1,81,lod.out.hk_LPCs,1.557661717015435e-4
S1_32765237,1,81.14727471,lod.out.hk_LPCs,1.55177227668446e-4
S1_33956203,1,81.14731819,lod.out.hk_LPCs,1.5517713950430334e-4
c1.loc82,1,82,lod.out.hk_LPCs,0.042978187479832286
S1_34154226,1,82.18046367,lod.out.hk_LPCs,0.06159991025782574
c1.loc83,1,83,lod.out.hk_LPCs,0.061629709308760994
S1_34895406,1,83.27488389,lod.out.hk_LPCs,0.06163975542784783
c1.loc84,1,84,lod.out.hk_LPCs,0.07233795921132469
S1_35213739,1,84.40179216,lod.out.hk_LPCs,0.075592210537365645
c1.loc85,1,85,lod.out.hk_LPCs,0.07126140778848367
S1_36221057,1,85.52870043,lod.out.hk_LPCs,0.06384405138493321
c1.loc86,1,86,lod.out.hk_LPCs,0.0272984801646885
S1_36918243,1,86.68219555,lod.out.hk_LPCs,8.314171764141065e-4
c1.loc87,1,87,lod.out.hk_LPCs,8.382445480492606e-4
S1_37805274,1,87.92921275,lod.out.hk_LPCs,8.582459200852099e-4
c1.loc88,1,88,lod.out.hk_LPCs,7.565504761259945e-4
c1.loc89,1,89,lod.out.hk_LPCs,1.0179030596191296e-7
S1_38548314,1,89.27027159,lod.out.hk_LPCs,5.405645367773104e-5
S1_38737084,1,89.27110563,lod.out.hk_LPCs,5.4404385934958555e-5
S1_38868115,1,89.27193967,lod.out.hk_LPCs,5.2188428583122004e-5
c1.loc90,1,90,lod.out.hk_LPCs,0.015275333882073028
S1_38871607,1,90.6129433,lod.out.hk_LPCs,0.051137916445213705
c1.loc91,1,91,lod.out.hk_LPCs,0.07058852152562167
S1_39140938,1,91.95394693,lod.out.hk_LPCs,0.12594969699046032
S1_40053605,1,91.95478097,lod.out.hk_LPCs,0.12599922878501957
S1_40812382,1,91.95561502,lod.out.hk_LPCs,0.12603829037448122
c1.loc92,1,92,lod.out.hk_LPCs,0.12810591571172836
c1.loc93,1,93,lod.out.hk_LPCs,0.16649516083327853
S1_41469829,1,93.29661865,lod.out.hk_LPCs,0.17393989102129126
c1.loc94,1,94,lod.out.hk_LPCs,0.18524205257961057
S1_42848428,1,94.60251326,lod.out.hk_LPCs,0.18487481303111508
c1.loc95,1,95,lod.out.hk_LPCs,0.1873055774036061
S1_45775092,1,95.87429177,lod.out.hk_LPCs,0.17856350464887782
c1.loc96,1,96,lod.out.hk_LPCs,0.1785690214115334
c1.loc97,1,97,lod.out.hk_LPCs,0.1786124559512814
S1_45938017,1,97.07464267,lod.out.hk_LPCs,0.17861572005944026
c1.loc98,1,98,lod.out.hk_LPCs,0.1919903512701353
S1_46687163,1,98.20155094,lod.out.hk_LPCs,0.19138806015951104
S1_50861858,1,98.20159442,lod.out.hk_LPCs,0.1913880607019678
c1.loc99,1,99,lod.out.hk_LPCs,0.16347779333869994
c1.loc100,1,100,lod.out.hk_LPCs,0.12864838670321888
c1.loc101,1,101,lod.out.hk_LPCs,0.09568566317454952
S1_51041318,1,101.7003408,lod.out.hk_LPCs,0.07463636698088294
S1_52920520,1,101.7003843,lod.out.hk_LPCs,0.07463511111768639
c1.loc102,1,102,lod.out.hk_LPCs,0.0746352732716673
S1_53075660,1,102.7948045,lod.out.hk_LPCs,0.07463566341999694
c1.loc103,1,103,lod.out.hk_LPCs,0.07459990241159176
S1_53467913,1,103.8891908,lod.out.hk_LPCs,0.07439877061227662
S1_54617720,1,103.8892343,lod.out.hk_LPCs,0.07439875860234224
S1_54925689,1,103.8892778,lod.out.hk_LPCs,0.07439874659212364
S1_55388398,1,103.8893212,lod.out.hk_LPCs,0.07439873431678734
c1.loc104,1,104,lod.out.hk_LPCs,0.07532293946468371
S1_56965305,1,104.922357,lod.out.hk_LPCs,0.07568257400237144
c1.loc105,1,105,lod.out.hk_LPCs,0.07882545868278612
c1.loc106,1,106,lod.out.hk_LPCs,0.12336145644809449
c1.loc107,1,107,lod.out.hk_LPCs,0.1727537778824626
c1.loc108,1,108,lod.out.hk_LPCs,0.22153750053030308
S1_59181593,1,108.336585,lod.out.hk_LPCs,0.23704233753733206
S1_60866363,1,108.3366285,lod.out.hk_LPCs,0.23704229898464746
c1.loc109,1,109,lod.out.hk_LPCs,0.23615793968525622
S1_60755704,1,109.3736029,lod.out.hk_LPCs,0.2356050747257541
S1_60866398,1,109.3736464,lod.out.hk_LPCs,0.23560500991584377
S1_60870080,1,109.3736899,lod.out.hk_LPCs,0.23560494520199882
c1.loc110,1,110,lod.out.hk_LPCs,0.23960059340475937
S1_64398915,1,110.36508860000001,lod.out.hk_LPCs,0.23308736264164054
c1.loc111,1,111,lod.out.hk_LPCs,0.4601870339066636
S1_66770206,1,111.375538,lod.out.hk_LPCs,0.6170183464590764
S1_67250690,1,111.3768274,lod.out.hk_LPCs,0.6175682474340078
c1.loc112,1,112,lod.out.hk_LPCs,0.42951606866961356
S1_70254852,1,112.4100068,lod.out.hk_LPCs,0.30545142297523853
c1.loc113,1,113,lod.out.hk_LPCs,0.3040631849276565
S1_71128709,1,113.4431523,lod.out.hk_LPCs,0.3029228762770231
c1.loc114,1,114,lod.out.hk_LPCs,0.3950312739358992
S1_72618382,1,114.4763317,lod.out.hk_LPCs,0.4629492056608342
c1.loc115,1,115,lod.out.hk_LPCs,0.4608443473745183
S1_73232072,1,115.5836243,lod.out.hk_LPCs,0.4582773761465546
S1_74412822,1,115.5836678,lod.out.hk_LPCs,0.4582754711736925
c1.loc116,1,116,lod.out.hk_LPCs,0.4395024465842994
c1.loc117,1,117,lod.out.hk_LPCs,0.39000125965986854
S1_74770503,1,117.2209745,lod.out.hk_LPCs,0.37833869866108216
c1.loc118,1,118,lod.out.hk_LPCs,0.26429421981129053
S1_75202749,1,118.9637535,lod.out.hk_LPCs,0.1435186787472844
S1_75957335,1,118.9646746,lod.out.hk_LPCs,0.14353431010545137
c1.loc119,1,119,lod.out.hk_LPCs,0.14412173876610268
c1.loc120,1,120,lod.out.hk_LPCs,0.1502642952823976
S1_76241489,1,120.2031365,lod.out.hk_LPCs,0.14906782500588633
S1_76504195,1,120.20318,lod.out.hk_LPCs,0.1490678249721782
S1_77032926,1,120.20322350000001,lod.out.hk_LPCs,0.1490678249721782
S1_79707307,1,120.203267,lod.out.hk_LPCs,0.14906782493903847
c1.loc121,1,121,lod.out.hk_LPCs,0.13685952207424634
S1_84764701,1,121.4427517,lod.out.hk_LPCs,0.1251061990803919
c1.loc122,1,122,lod.out.hk_LPCs,0.1097647043702068
S1_85896581,1,122.7145302,lod.out.hk_LPCs,0.08492362925181851
c1.loc123,1,123,lod.out.hk_LPCs,0.08492257254266633
c1.loc124,1,124,lod.out.hk_LPCs,0.08491889577868506
S1_86613257,1,124.0204248,lod.out.hk_LPCs,0.08491881999043471
S1_88010603,1,124.0204683,lod.out.hk_LPCs,0.08491882029102271
c1.loc125,1,125,lod.out.hk_LPCs,0.10229208847283644
S1_88965520,1,125.3262526,lod.out.hk_LPCs,0.10547643509494264
c1.loc126,1,126,lod.out.hk_LPCs,0.1316632004100029
c1.loc127,1,127,lod.out.hk_LPCs,0.17197253137419466
c1.loc128,1,128,lod.out.hk_LPCs,0.20758433223079464
S1_92431543,1,128.0995446,lod.out.hk_LPCs,0.21062361606141167
c1.loc129,1,129,lod.out.hk_LPCs,0.10144704940614702
S1_93075304,1,129.4795242,lod.out.hk_LPCs,0.05452452380490058
S1_94819191,1,129.4803045,lod.out.hk_LPCs,0.05450965590216583
c1.loc130,1,130,lod.out.hk_LPCs,0.044191294353367994
S1_94820798,1,130.8593819,lod.out.hk_LPCs,0.027342553721609875
c1.loc131,1,131,lod.out.hk_LPCs,0.027221546844486966
c1.loc132,1,132,lod.out.hk_LPCs,0.024376966254862964
S1_96081201,1,132.2393614,lod.out.hk_LPCs,0.02320635215329503
c1.loc133,1,133,lod.out.hk_LPCs,0.023185429953116454
S1_100186375,1,133.5708925,lod.out.hk_LPCs,0.023169700150845074
c1.loc134,1,134,lod.out.hk_LPCs,0.04401872269215801
S1_106846288,1,134.844739,lod.out.hk_LPCs,0.10164071330308388
c1.loc135,1,135,lod.out.hk_LPCs,0.10165020239793421
c1.loc136,1,136,lod.out.hk_LPCs,0.10171082643046248
S1_109402988,1,136.2064413,lod.out.hk_LPCs,0.10172343148332175
c1.loc137,1,137,lod.out.hk_LPCs,0.10150608733249555
S1_114473689,1,137.5681436,lod.out.hk_LPCs,0.10134987008115104
S1_121653373,1,137.5681871,lod.out.hk_LPCs,0.10134985925645879
c1.loc138,1,138,lod.out.hk_LPCs,0.10128097139653391
S1_122038680,1,138.8006622,lod.out.hk_LPCs,0.1011534136449086
S1_124820695,1,138.8016702,lod.out.hk_LPCs,0.10116907368109196
c1.loc139,1,139,lod.out.hk_LPCs,0.10382131327537536
S1_129633920,1,139.9555423,lod.out.hk_LPCs,0.10429377662933348
c1.loc140,1,140,lod.out.hk_LPCs,0.10428546302006225
c1.loc141,1,141,lod.out.hk_LPCs,0.10410010012742532
S1_140888441,1,141.1575808,lod.out.hk_LPCs,0.10407064912021724
c1.loc142,1,142,lod.out.hk_LPCs,0.11404470824419377
S1_147896152,1,142.3989538,lod.out.hk_LPCs,0.11417069436441807
c1.loc143,1,143,lod.out.hk_LPCs,0.03462080737847373
S1_148561083,1,143.6094733,lod.out.hk_LPCs,0.0010688068157946873
c1.loc144,1,144,lod.out.hk_LPCs,4.7349682415642746e-4
c1.loc145,1,145,lod.out.hk_LPCs,7.544482514276751e-5
c1.loc146,1,146,lod.out.hk_LPCs,0.0016365566108902385
S1_154083868,1,146.1684394,lod.out.hk_LPCs,0.0020897008872111655
S1_155455696,1,146.1684828,lod.out.hk_LPCs,0.0020897718413266375
c1.loc147,1,147,lod.out.hk_LPCs,3.441400286874341e-5
S1_160858112,1,147.4423293,lod.out.hk_LPCs,2.750245680545049e-4
c1.loc148,1,148,lod.out.hk_LPCs,2.473537011837834e-5
c1.loc149,1,149,lod.out.hk_LPCs,0.0017755915546899814
S1_161228009,1,149.350992,lod.out.hk_LPCs,0.0029300676469574682
c1.loc150,1,150,lod.out.hk_LPCs,0.0026377109713848768
c1.loc151,1,151,lod.out.hk_LPCs,0.0021987108594885285
S1_161302857,1,151.3958697,lod.out.hk_LPCs,0.002031116474256578
S1_161408477,1,151.3962816,lod.out.hk_LPCs,0.002030940146539706
c1.loc152,1,152,lod.out.hk_LPCs,0.0017992662114352242
c1.loc153,1,153,lod.out.hk_LPCs,0.0013566346504489957
c1.loc154,1,154,lod.out.hk_LPCs,9.095977561628388e-4
S1_165204741,1,154.2534968,lod.out.hk_LPCs,8.046946661579568e-4
c1.loc155,1,155,lod.out.hk_LPCs,0.0014904915053648438
S1_173238817,1,155.5332457,lod.out.hk_LPCs,0.0021061948197598213
c1.loc156,1,156,lod.out.hk_LPCs,0.0034069999867369916
S1_174227898,1,156.7438883,lod.out.hk_LPCs,0.005848025868715467
c1.loc157,1,157,lod.out.hk_LPCs,0.005194943124081419
S1_174669769,1,157.9544968,lod.out.hk_LPCs,0.002810095753488895
c1.loc158,1,158,lod.out.hk_LPCs,0.002872505639800238
c1.loc159,1,159,lod.out.hk_LPCs,0.0043628407987625906
S1_174672982,1,159.214549,lod.out.hk_LPCs,0.004714692052971259
c1.loc160,1,160,lod.out.hk_LPCs,3.089675284968507e-4
S1_174846118,1,160.2048204,lod.out.hk_LPCs,1.2672525599555229e-5
c1.loc161,1,161,lod.out.hk_LPCs,1.5346915574809827e-5
S1_176049295,1,161.1609791,lod.out.hk_LPCs,1.592307393138981e-5
c1.loc162,1,162,lod.out.hk_LPCs,5.400370427537382e-4
S1_177613083,1,162.2996375,lod.out.hk_LPCs,0.0011074789495069126
c1.loc163,1,163,lod.out.hk_LPCs,0.0032204239619773034
S1_180513858,1,163.4522896,lod.out.hk_LPCs,0.005133454369797619
S1_180696613,1,163.4532106,lod.out.hk_LPCs,0.00515268250023837
c1.loc164,1,164,lod.out.hk_LPCs,0.022435788222026076
S1_182355315,1,164.662776,lod.out.hk_LPCs,0.05547589620675808
S1_182904724,1,164.6628194,lod.out.hk_LPCs,0.05547589153786703
S1_183097468,1,164.6628629,lod.out.hk_LPCs,0.055475887256989154
S1_183309916,1,164.6629064,lod.out.hk_LPCs,0.05547588313044116
c1.loc165,1,165,lod.out.hk_LPCs,0.06805570412876705
S1_188073048,1,165.8085612,lod.out.hk_LPCs,0.10376349089312953
c1.loc166,1,166,lod.out.hk_LPCs,0.11280056543637329
S1_188928772,1,166.911478,lod.out.hk_LPCs,0.14844091442034824
c1.loc167,1,167,lod.out.hk_LPCs,0.15396498442913753
S1_189150054,1,167.9720908,lod.out.hk_LPCs,0.2199299883714616
c1.loc168,1,168,lod.out.hk_LPCs,0.22199085071906666
S1_189591072,1,168.7335928,lod.out.hk_LPCs,0.27824568373648617
c1.loc169,1,169,lod.out.hk_LPCs,0.17827558923329434
S1_189688509,1,169.5164801,lod.out.hk_LPCs,0.04576860260914373
c1.loc170,1,170,lod.out.hk_LPCs,0.05073479827677829
S1_190189687,1,170.5619075,lod.out.hk_LPCs,0.05685384822817241
c1.loc171,1,171,lod.out.hk_LPCs,0.06184348659326133
S1_190702883,1,171.6225202,lod.out.hk_LPCs,0.06931200761761147
c1.loc172,1,172,lod.out.hk_LPCs,0.055854568838867635
c1.loc173,1,173,lod.out.hk_LPCs,0.02643002661875471
S1_191370254,1,173.7131763,lod.out.hk_LPCs,0.011849421882516253
c1.loc174,1,174,lod.out.hk_LPCs,0.007606097937014056
S1_191587280,1,174.6541265,lod.out.hk_LPCs,0.0015063013591998242
S1_191587328,1,174.65417,lod.out.hk_LPCs,0.0015063731714803907
S1_192104170,1,174.6542135,lod.out.hk_LPCs,0.0015064450174122612
c1.loc175,1,175,lod.out.hk_LPCs,0.003024080482816771
S1_191587556,1,175.5867831,lod.out.hk_LPCs,0.006692675822307592
c1.loc176,1,176,lod.out.hk_LPCs,0.00996692634998908
S1_192732260,1,176.4994719,lod.out.hk_LPCs,0.014437157824261249
c1.loc177,1,177,lod.out.hk_LPCs,0.016534896153132195
S1_193456898,1,177.4192349,lod.out.hk_LPCs,0.018412365046231116
c1.loc178,1,178,lod.out.hk_LPCs,0.021199788461672142
S1_192033186,1,178.355592,lod.out.hk_LPCs,0.023011495431319418
S1_193520147,1,178.3556355,lod.out.hk_LPCs,0.023011716816597527
c1.loc179,1,179,lod.out.hk_LPCs,0.0263453120571171
S1_194663005,1,179.2919925,lod.out.hk_LPCs,0.027934181812440784
c1.loc180,1,180,lod.out.hk_LPCs,0.03161453990293239
S1_194687345,1,180.6362915,lod.out.hk_LPCs,0.034431069579966334
c1.loc181,1,181,lod.out.hk_LPCs,0.03580605599677256
S1_194763024,1,181.715571,lod.out.hk_LPCs,0.037842337401855275
c1.loc182,1,182,lod.out.hk_LPCs,0.04234804994382557
S1_194993115,1,182.2465427,lod.out.hk_LPCs,0.04395866387085334
c1.loc183,1,183,lod.out.hk_LPCs,0.04378570562164441
c1.loc184,1,184,lod.out.hk_LPCs,0.04088738142445436
S1_194993410,1,184.1285409,lod.out.hk_LPCs,0.040302968831895214
S1_195722434,1,184.1285844,lod.out.hk_LPCs,0.04030240544557273
S1_197748542,1,184.1286278,lod.out.hk_LPCs,0.04030231097789283
c1.loc185,1,185,lod.out.hk_LPCs,0.0384132818412013
S1_196127618,1,185.1451811,lod.out.hk_LPCs,0.03809240117789159
c1.loc186,1,186,lod.out.hk_LPCs,0.04121200555402993
c1.loc187,1,187,lod.out.hk_LPCs,0.043216773761287186
S1_199070933,1,187.4063498,lod.out.hk_LPCs,0.04341603000165151
S1_199115477,1,187.6857864,lod.out.hk_LPCs,0.04347175799836123
c1.loc188,1,188,lod.out.hk_LPCs,0.04858417712841856
S1_199301009,1,188.9065445,lod.out.hk_LPCs,0.05972901204233949
c1.loc189,1,189,lod.out.hk_LPCs,0.05940510903070617
c1.loc190,1,190,lod.out.hk_LPCs,0.055298179392195834
S1_199338776,1,190.0521443,lod.out.hk_LPCs,0.05504926147875722
c1.loc191,1,191,lod.out.hk_LPCs,0.045551233798676094
S1_198934280,1,191.090247,lod.out.hk_LPCs,0.04461489664521423
S1_199485143,1,191.0902905,lod.out.hk_LPCs,0.04461444527794356
c1.loc192,1,192,lod.out.hk_LPCs,0.035298496679388336
S1_199631935,1,192.1283933,lod.out.hk_LPCs,0.03399849006268596
S1_199730838,1,192.1284368,lod.out.hk_LPCs,0.033998230687302566
c1.loc193,1,193,lod.out.hk_LPCs,0.07535042686413362
c1.loc194,1,194,lod.out.hk_LPCs,0.13285367807475268
S1_199896326,1,194.3913292,lod.out.hk_LPCs,0.15450785590951455
S1_200002946,1,194.3913727,lod.out.hk_LPCs,0.1545067487244296
